ShortID,Long,Lat,Height
ABMF,298d28'20.9",16d15'44.3,-25.6
ABPO,47d13'45.2",-19d01'05.9,1553.0
ADIS,38d45'58.7",9d02'06.5,2439.1
ALBH,236d30'45.1",48d23'23.2,31.8
ALGO,281d55'43.1",45d57'20.9,201.0
ALIC,133d53'07.9",-23d40'12.4,603.2
ANTC,288d28'04.6",-37d20'19.3,745.6
AREG,288d30'25.5",-16d27'55.5,2489.4
AREQ,288d30'25.9",-16d27'55.9,2488.9
ASCG,345d40'02.4",-7d54'58.6,38.0
AUCK,174d50'03.8",-36d36'10.2,132.7
BADG,102d14'06.0",51d46'10.9,811.4
BAKE,263d59'51.5",64d19'04.1,4.6
BAKO,106d50'56.1",-6d29'27.8,158.1
BARH,291d46'41.9",44d23'42.2,6.8
BJCO,2d27'00.1",6d23'04.8,30.7
BJFS,115d53'33.0",39d36'31.0,87.5
BNDY,152d19'15.6",-24d54'29.6,80.0
BOAV,299d17'56.0",2d50'42.7,69.5
BOGO,21d02'07.3",52d28'33.4,149.6
BOGT,285d55'08.6",4d38'24.3,2576.1
BOR1,17d04'24.5",52d16'37.1,124.4
BRAZ,312d07'19.7",-15d56'50.9,1106.0
BRFT,321d34'28.1",-3d52'38.8,21.7
BRST,355d30'12.3",48d22'49.8,65.8
BRUX,4d21'30.8",50d47'53.0,158.1
BSHM,35d01'22.8",32d46'44.4,225.1
CAGS,284d11'33.6",45d35'06.1,235.0
CAS1,110d31'10.9",-66d17'00.1,22.5
CCJ2,142d11'42.1",27d04'03.1,104.2
CEDU,133d48'35.4",-31d51'60.0,144.7
CHPG,BR 314d59'51.4",-22d40'56.2,566.3
CHPI,BR 315d00'53.4",-22d41'13.7,617.4
CHTI,183d22'58.4",-43d44'07.7,75.7
CHUR,265d54'40.6",58d45'32.7,-19.2
CKIS,nd0200d11'57.8",-21d12'03.7,18.4
COCO,96d50'02.3",-12d11'18.0,-35.3
CORD,295d31'47.8",-31d31'42.4,746.8
CPVG,337d03'54.2",16d43'55.4,94.1
CRO1,295d24'56.5",17d45'24.8,-32.0
DAEJ,127d22'28.1",36d23'57.9,116.9
DARW,131d07'57.9",-12d50'37.3,125.1
DAV1,77d58'21.4",-68d34'38.4,44.4
DGAR,O   72d22'12.9",-7d16'10.8,-64.9
DRAO,240d22'30.1",49d19'21.4,541.9
DUBO,264d08'01.7",50d15'31.7,245.3
FAA1,210d23'08.5",-17d33'19.1,12.0
FAIR,at 212d30'02.7",64d58'40.8,319.0
FLIN,258d01'19.1",54d43'32.1,311.6
FLRS,328d52'25.0",39d27'13.8,80.2
FRDN,293d20'24.4",45d56'00.6,94.8
FTNA,ly 181d52'44.6",-14d18'28.1,84.8
FUNC,343d05'32.6",32d38'52.6,78.4
GANP,20d19'22.6",49d02'05.0,746.0
GLSV,30d29'48.3",50d21'51.1,226.3
GODE,283d10'23.4",39d01'18.2,14.5
GODZ,283d10'23.4",39d01'18.2,14.5
GOL2,243d06'38.7",35d25'30.6,986.6
GOLD,243d06'38.7",35d25'30.6,986.6
GOPE,bl  14d47'08.3",49d54'49.3,592.6
GRAS,6d55'14.1",43d45'17.1,1319.3
GRAZ,15d29'36.5",47d04'01.7,538.3
GUAM,144d52'06.1",13d35'21.6,201.9
GUUG,144d48'09.8",13d25'59.6,134.7
HARB,27d42'26.1",-25d53'13.1,1558.1
HERS,0d20'10.6",50d52'02.3,76.5
HERT,0d20'03.7",50d52'02.9,83.3
HLFX,296d23'19.4",44d41'00.8,3.1
HNLC,202d08'07.6",21d18'11.9,22.0
HNPT,at 283d52'10.6",38d35'19.7,-28.0
HOB2,147d26'19.5",-42d48'16.9,41.0
HOFN,344d48'07.5",64d16'02.3,82.9
HRAO,27d41'13.1",-25d53'24.4,1414.2
HYDE,78d33'03.2",17d25'02.1,441.7
IISC,77d34'13.4",13d01'16.2,843.7
INEG,257d42'56.9",21d51'22.2,1887.3
INVK,226d28'22.9",68d18'22.3,46.3
IQAL,291d29'22.2",63d45'21.5,91.7
IRKJ,104d18'58.3",52d13'08.5,502.0
ISBA,44d26'18.3",33d20'29.1,72.4
JOZ2,21d01'56.5",52d05'52.2,152.5
JOZE,21d01'53.6",52d05'50.2,141.4
KERG,F   70d15'19.9",-49d21'05.3,73.0
KIR0,21d03'36.9",67d52'39.3,498.2
KIRI,172d55'22.4",1d21'16.5,36.2
KIRU,20d58'06.4",67d51'26.5,391.1
KIT3,66d53'07.6",39d08'05.2,622.5
KOKB,200d20'06.2",22d07'34.6,1167.4
KOKV,200d20'06.2",22d07'34.6,1167.4
KOUG,307d21'36.9",5d05'54.5,107.2
KOUR,307d11'38.5",5d15'07.9,-25.8
KRGG,F   70d15'19.8",-49d21'05.6,73.0
LAUT,177d26'47.7",-17d36'31.7,89.7
LMMF,299d00'13.8",14d35'41.3,-27.1
LPAL,342d06'22.2",28d45'49.9,2199.2
LPGS,302d04'03.7",-34d54'24.3,29.9
M0SE,12d29'35.7",41d53'35.2,120.6
MAC1,158d56'09.0",-54d29'58.3,-6.8
MAL2,40d11'38.9",-2d59'45.8,-20.9
MANA,273d45'03.6",12d08'56.2,71.0
MAS1,344d22'00.2",27d45'49.5,197.1
MAT1,16d42'16.4",40d38'56.6,534.5
